<<<<<<< HEAD
Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Risk_Score,Engagement_Score,Performance_Inconsistency,Study_Efficiency,Workload_Balance,Midterm_Score_Percentile,Final_Score_Percentile,Total_Score_Percentile,Low_Performance_Count,Improvement_Score,Attendance_Efficiency,Stress_Performance_Ratio,Adjusted_Study_Effort,Consistency_Score,Workload_Stress_Index,Dept_CS,Dept_Engineering,Dept_Mathematics,Extracurricular_Encoded,Priority_Encoded
22,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,10.3,1,5.9,1,0.8070400000000001,12.226339599405868,5.299690265486725,1.4927536231884058,1.03,33.31,5.4,1,19.0,0.6088501423342823,0.016424002036576252,1.4927536231884058,87.77366040059414,1.4927536231884058,0,0,1,1,2
18,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,27.1,4,4.3,1,0.85405,17.676561317179313,2.9151957295373663,5.113207547169812,27.36,57.58,91.66,0,16.729999999999997,0.8298753925640766,0.048241012096433784,5.113207547169812,82.3234386828207,20.452830188679247,0,0,0,0,0
24,99.52,41.84,63.85,85.85,50.4299,4.699999999999999,91.22,67.717,12.4,9,6.1,2,0.65606,21.55685460362898,5.053507462686567,1.7464788732394367,3.1199999999999997,40.699999999999996,30.020000000000003,1,22.009999999999998,0.6736669319538401,0.13097195744866627,1.7464788732394367,78.44314539637102,15.71830985915493,0,1,0,1,1
24,90.38,45.65,44.44,68.1,66.27,4.2,55.48,55.48283,25.5,8,4.9,2,0.55614,11.100773396480085,2.0936916981132074,4.322033898305085,9.49,7.46,0.51,2,-1.2100000000000009,0.6071660100678485,0.14163596264563938,4.322033898305085,88.89922660351992,34.57627118644068,0,1,0,0,1
23,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,13.3,6,4.5,1,0.64177,14.610771026882876,4.993216783216783,2.4181818181818184,20.68,36.919999999999995,48.66,0,8.64,1.1819731832478069,0.08286949435796859,2.4181818181818184,85.38922897311713,14.509090909090911,1,0,0,1,1
21,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,25.3,6,5.6,1,0.6976,12.825429817358946,2.5889733840304183,3.8333333333333335,48.76,41.68,31.8,0,-5.72999999999999,1.105357142857143,0.08684324793747286,3.8333333333333335,87.17457018264105,23.0,0,0,1,1,1
24,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,22.1,2,4.0,2,0.6035300000000001,16.313066235383218,3.5869047619047616,4.42,83.52000000000001,90.5,93.78,0,2.8900000000000006,1.2183134833112776,0.023849983603136272,4.42,83.68693376461678,8.84,0,0,0,1,1
19,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,16.7,5,7.8,2,0.56501,20.0864787854915,4.032118644067798,1.8977272727272725,84.88,33.03,48.52,0,-32.25,1.0666342848602604,0.06909083371909047,1.8977272727272725,79.9135212145085,9.488636363636363,0,1,0,1,1
21,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,18.1,9,4.8,1,0.81445,10.584612416144486,3.4481937172774866,3.120689655172414,59.940000000000005,38.39,21.92,0,-14.219999999999999,0.6664019022564,0.13460862542158672,3.120689655172414,89.41538758385552,28.086206896551726,1,0,0,0,1
22,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,9.4,8,7.1,2,0.70025,14.211611449796958,7.957259615384617,1.160493827160494,92.13,79.66,93.47999999999999,0,-8.719999999999999,0.9149309010503042,0.09551611535958832,1.1604938271604939,85.78838855020304,9.283950617283953,0,0,0,1,0
