ear_mean,ear_std,mar_mean,mar_std,blink_rate,yawn_rate,pitch_mean,pitch_std,yaw_mean,yaw_std,roll_mean,roll_std,frames_analyzed,ClipID,target_class
0.24212183875675206,0.03201014574408535,0.43108905649937845,0.06276776215473713,0.05,0.0,1.1338133041829506,9.317401401434735,1.6849718105179838,6.588015751431484,167.08321279766517,2.0264285523904597,60,1100011002.avi,Focused
0.2577261898343471,0.025694220818054878,0.4567682588045173,0.034258414048957846,0.016666666666666666,0.0,7.784649795881948,6.445146937704722,-4.239646339454986,3.455273355411741,167.9879444358991,1.9476783063758287,60,1100011003.avi,Focused
0.25528443362542685,0.01184966902663194,0.47410649100310687,0.026786157356006056,0.016666666666666666,0.0,9.513452760790594,6.976645828305573,-4.5330517811227455,3.8448234986873175,167.95228367820403,1.9227253775090727,60,1100011004.avi,Focused
0.2580855726466868,0.015603698638459658,0.49804736435899816,0.024804961052595904,0.03333333333333333,0.0,0.2770535262171581,8.746630657766659,-0.5735997121370141,3.281761819961959,168.56708013286482,1.9980279325616643,60,1100011005.avi,Focused
0.23280445722391702,0.027062324568300447,0.4291636584105893,0.03801396312036796,0.15,0.0,0.06322362466496484,7.645357908385525,6.708000131332893,22.49494370010186,162.06000076385166,42.49424464223823,60,1100011006.avi,Focused
0.2480726991212971,0.00834763966608364,0.49880684531073766,0.047928037656555775,0.0,0.0,-7.310879189828973,3.5959912782408336,6.372655285872109,1.7566107009910188,166.9784147491951,0.9534248066250055,60,1100011007.avi,Focused
0.252481902268738,0.0070923291811954975,0.5634978327973669,0.018073732437377248,0.0,0.05,-9.715593640926455,1.560206011802322,5.500470855092131,1.059901410008876,167.7603647877244,0.6438096889678764,60,1100011008.avi,Focused
0.25796389059630837,0.010802878749333422,0.5515997334696247,0.031806664195058655,0.0,0.0,-9.826704770529378,2.764043608415217,5.241398898520271,2.619759330587648,167.95170247880824,1.1452161835083245,60,1100011009.avi,Focused
0.25759849284630726,0.025769680469242492,0.5055745944508384,0.06133091038935618,0.016666666666666666,0.0,-8.550368873915897,1.9421484301206877,6.596586041683434,1.0493553383129526,169.32191954742248,0.8761710573589132,60,1100011010.avi,Focused
0.2452506811348421,0.03013013773856821,0.4292334179849834,0.016280955511472305,0.016666666666666666,0.0,-4.426510333603944,4.317050609976339,4.714821534407523,2.6144834280788785,168.7240422486117,1.3420377229198348,60,1100011011.avi,Focused
0.25460477489136285,0.025516804296015036,0.47499480519618614,0.01632320055860513,0.016666666666666666,0.0,-8.148797718872698,1.056560832903181,5.952800669487798,1.1553338177419183,169.306441806697,1.522287232255458,60,1100011012.avi,Anxiety
0.24889553527873975,0.006387017977791267,0.48574996182013697,0.02715907699003622,0.0,0.0,-7.179416939745176,2.387612607778583,4.795329165488847,2.3834606276107366,169.0517603211094,0.8589455869452561,60,1100011013.avi,Focused
0.2568529339892297,0.027158754672871436,0.431806965962964,0.03253007815212639,0.016666666666666666,0.0,-7.111553267030043,1.5724162104995787,2.964245084972193,0.6069135557817613,171.2742158095706,0.4483432928083755,60,1100011014.avi,Focused
0.2546851174966876,0.0059574922694431,0.47455978690881134,0.023937703435547207,0.0,0.0,-7.952031442056879,1.3221994236587902,4.755516462188462,0.6255061652065403,171.97245380651418,0.4776479690751675,60,1100011015.avi,Focused
0.24988755825101563,0.01205337915294699,0.4386925229217466,0.04283046229902876,0.0,0.0,-8.018451009033338,1.8718597921927687,7.134047580959308,1.150313101525394,169.7241600587326,1.9056167668699031,60,1100011016.avi,Focused
0.2466650158895623,0.009667416941235664,0.4715066989283405,0.01904239918105957,0.0,0.0,-9.330363858934337,2.1292015029526548,9.559819677465907,0.7686911165971766,169.5777154518784,0.8515576774057001,60,1100011017.avi,Focused
0.25847656381729267,0.010768797081376015,0.5311460095211397,0.03191437317882028,0.0,0.016666666666666666,-9.827960374084777,2.09709386060026,9.132020353485398,0.5372866385759609,170.471222640122,0.6799957239958122,60,1100011018.avi,Focused
